Water kg/m3,Cement kg/m3,Water / Cement Ratio,Natural Coarse Aggregate Fineness Modulus,Natural Coarse Aggregate (kg/m3),Recycled Coarse Aggregate Fineness Modulus,Recycled coarse aggregate Absorption Capacity (%),Recycled Coarse Aggregate (kg/m3),Replacement Percentage of Recycled Coarse Aggregate (%),Natural Fine Aggregate Fineness Modulus,Natural Fine Aggregate (kg/m3),Crumb Rubber FM,Crumb Rubber (kg/m3),Replacement Percentage of Crumb Rubber (%),Addition of Fiber (kg/m3),Fiber Mass(%),No Fiber,PPFiber,SteelFiber,SteelTireWiresFiber,Age (Days),Compressive Strength (MPa)
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,0,56,37.96
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,0,56,29.33
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,0,56,32.63
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,0,56,35.78
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,0,56,42.54
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,0,56,39.82
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,0,56,46.09
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,0,56,46.02
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,0,56,47.58
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,56,34.71
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,56,35.7
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,56,35.23
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,56,32.09
