Water / Cement Ratio,NCA Fineness Modulus,NCA (kg/m3),RCA Fineness Modulus,RCA Absorption Capacity (%),RCA (kg/m3),Replacement Percentage of RCA (%),NFA Fineness Modulus,NFA (kg/m3),CR Fineness Modulus,CR (kg/m3),Replacement Percentage of CR (%),Addition of Fiber (kg/m3),Addition of Fiber (%),No Fiber,PP,SteelTireWire,Age in Days,Tensile  Strength (MPa)
0.45,6.5,1050.65,6.5,3,167.37,20,2.5,290.11,2.5,65.62,20,0,0,1,0,0,28,2.75
0.45,6.5,995.2,6.5,3,251.06,30,2.5,253.85,2.5,65.62,20,0,0,1,0,0,28,2.97
0.45,6.5,939.76,6.5,3,334.74,40,2.5,217.58,2.5,65.62,20,0,0,1,0,0,28,3.07
0.34,6.5,1142,0,0,0,0,2.38,633,0,0,0,0,0,1,0,0,56,6.52
0.34,6.5,1142,0,0,0,0,2.38,570,1.79,29,10,0,0,1,0,0,56,4.73
0.34,6.5,1142,0,0,0,0,2.38,507,1.79,57,20,0,0,1,0,0,56,3.71
0.34,6.5,571,6.5,8.02,571,50,2.38,633,0,0,0,0,0,1,0,0,56,4.55
0.34,6.5,571,6.5,8.02,571,50,2.38,570,1.79,29,10,0,0,1,0,0,56,5.27
0.34,6.5,571,6.5,8.02,571,50,2.38,507,1.79,57,20,0,0,1,0,0,56,3.5
0.34,0,0,6.5,8.02,1142,100,2.38,633,0,0,0,0,0,1,0,0,56,3.99
0.34,0,0,6.5,8.02,1142,100,2.38,570,1.79,29,10,0,0,1,0,0,56,3.43
0.34,0,0,6.5,8.02,1142,100,2.38,507,1.79,57,20,0,0,1,0,0,56,4.62
0.34,6.5,1142,0,0,0,0,2.38,633,0,0,0,4.55,0.5,0,1,0,56,4.78
0.34,6.5,1142,0,0,0,0,2.38,507,1.79,57,20,4.55,0.5,0,1,0,56,3.27
0.34,6.5,571,6.5,8.02,571,50,2.38,507,1.79,0,20,4.55,0.5,0,1,0,56,3.55
0.34,0,0,6.5,8.02,1142,100,2.38,633,0,0,0,4.55,0.5,0,1,0,56,3.97
0.34,0,0,6.5,8.02,1142,100,2.38,507,1.79,57,20,4.55,0.5,0,1,0,56,3.34
0.34,6.5,571,6.5,8.02,571,50,2.38,570,1.79,29,10,4.55,0.5,0,1,0,56,3.4
0.31,6.5,1142,0,0,0,0,2.5,633,0,0,0,0,0,1,0,0,28,4
0.31,6.5,571,6.5,4.42,571,50,2.5,570,2.5,29,10,0,0,1,0,0,28,3.1
0.31,0,0,6.5,4.42,1142,100,2.5,507,2.5,57,20,0,0,1,0,0,28,2.5
0.31,6.5,1142,0,0,0,0,2.5,633,0,0,0,4.6,0.1,0,0,1,28,4.5
0.31,6.5,571,6.5,4.42,571,50,2.5,570,2.5,29,10,4.6,0.1,0,0,1,28,4.5
0.31,0,0,6.5,4.42,1142,100,2.5,507,2.5,57,20,4.6,0.1,0,0,1,28,3.9
0.45,6.5,950,0,0,0,0,1.47,874,0,0,0,0,0,1,0,0,28,5.12
0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,0,1,0,0,28,4.75
0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,0.25,0,0,1,28,5.4
0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,0.5,0,0,1,28,5.53
0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,1,0,0,1,28,5.72
0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,0,1,0,0,28,3.22
0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,0.25,0,0,1,28,3.48
0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,0.5,0,0,1,28,3.7
0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,1,0,0,1,28,3.88
0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,0,1,0,0,28,2.94
0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,0.25,0,0,1,28,3.29
0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,0.5,0,0,1,28,3.55
0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,1,0,0,1,28,3.68
0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,0,1,0,0,28,2.58
0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,0.25,0,0,1,28,2.92
0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,0.5,0,0,1,28,3.23
0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,1,0,0,1,28,3.58
0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,0,1,0,0,28,2.24
0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,0.25,0,0,1,28,2.64
0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,0.5,0,0,1,28,2.97
0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,1,0,0,1,28,3.4
